Acronym,Translation
fouc,fuck off you cunt
fawk,fuck
betch,bitch
shure,sure
lorl,laugh out real loud
xtc,ecstasy
poontang,female genitalia
ygtbfkm,you've got to be fucking kidding me
idwtg,i don't want to go
yasfg,you are so fucking gay
gmilf,grandmother i'd like to fuck
gimmie,give me
wthru,who the heck are you
bbilfm,be back in like five minutes
g2g2tb,got to go to the bathroom
jalaudlm,just as long as you don't leave me
intpftpotm,i nominate this post for the post of the month
*67,unknown
lmcao,laughing my crazy ass off
sgtm,slightly gigling to myself
fux,fuck
feck,fuck
b00t,boot
bilu,baby i love you
twttr,twitter
b00n,new person
lms,leave me some
culd,could
dayumm,damn
naww,no
nawt,not
smfd,suck my fucking dick
k,ok
inb4,in before
fuk,fuck
lmk,let me know
2night,tonight
lml,love my life
lmo,leave me one
fnny,funny
txt,text
txs,thanks
9t,night
dnd,do not disturb
musiq,music
ianalb,"i am not a lawyer, but.."
dno,don't know
dnt,don't
dnw,do not want
butterface,every thing is hot but her face
dns,domain name system
twvsoy,that was very stupid of you
notin,nothing
jms,just making sure
jmo,just my opinion
jml,just my luck
jma,just messing around
p4p,pic for pic
iawtp,i agree with this post
oftn,often
zomg,oh my god
oftc,out for the count
wana,want to
id10t,idiot
smtm,sometime
smto,sticking my tongue out
icudk,in case you didn't know
hom,home
hoh,head of household
lololz,laugh out loud
obgjfioyo,old but good job finding it on your own
sydim,stick your dick in me
miid,my internet is down
"cyl,a","see ya later, alligator"
pimpl,pissing in my pants laughing
w2f,want to fuck
w2g,way to go
w2d,what to do
w2m,want to meet
nty,no thank you
wuteva,whatever
cybseckz,cyber sex
imfao,in my fucking arrogant opinion
omgih,oh my god in heaven
cwmaos,coffee with milk and one sugar
4evs,forever
4evr,for ever
fiv,five
xl,extra large
iwythmb,i want you to have my baby
4eva,forever
fio,figure it out
uom,you owe me
rbty,right back to you
urms,you rock my socks
urmw,you are my world
rbtl,read between the lines
yrubm,why are you bugging me?
ifttt,if this then that
fi9,fine
hc,how come
f4f,female for female
wtmf,what the mother fuck
f4m,female for male
pleez,please
luvuvm,love you very much
2dae,today
brbn2gbr,"be right back, i need to go to the bathroom"
2day,today
whit,with
ru,are you
rp,roleplay
rq,real quick
rr,rest room
whaddya,what do you
dsu,don't screw up
re,reply
l33t,elite
smh,shaking my head
rl,real life
rm,room
roflmbo,rolling on floor laughing my butt off
gjsu,god just shut up
smc,suck my cock
smb,see my blog
2mmrw,tomorrow
tl; dr,to long; didn't read
ybbg,your brother by grace
rspct,respect
lesbo,lesbian
atb,all the best
dayum,damn
ato,against the odds
atl,atlanta
atm,at the moment
r8,rate
sm1,someone
l337,elite
dugt,did you get that?
atp,answer the phone
atq,answer the question
uraqt,you are a cutie
thwy,the hell with you!
d&c,divide and conquer
aty,according to you
dgt,don't go there
jtluk,just to let you know
omgzors,oh my god
loflmao,laying on floor laughing my ass off
kfc,kentucky fried chicken
naw-t,naughty
was^,what's up
nttawwt,not that there is anything wrong with that
misc.,miscellaneous
xit,exit
dmwm,don't mess with me
hiya,hello
urtrd,you retard
floabt,for lack of a better term
idlu,i don't like you
rotfpm,rolling on the floor pissing myself
idly,i don't like you
hayd,how are you doing
heyya,hello
idli,i don't like it
goya,get off your ass
tmsg,tell me something good
wduwtta,what do you want to talk about
vgl,very good looking
vgn,video game nerd
vgh,very good hand
vgg,very good game
luser,user who is a loser
rhcp,red hot chilli peppers
lmfto,laughing my fuckin tits off
roflmiaha,rolling on the floor laughing myself into a heart attack
doin,doing
sk8tr,skater
u'd,you would
pitfa,pain in the fucking ass
u'r,you're
u'v,you have
ttyob,tend to your own business
msngr,messenger
gtgfn,got to go for now
un4rtun8ly,unfortunately
lpb,low ping bastard
ex-gf,ex-girl friend
jtty,just to tell you
0day,software illegally obtained before it was released
ysal,you suck at life
peep dis,check out what i'm telling you
u'll,you will
ricl,rolling in chair laughing
n2mhbu,not too much how about you?
yfg,you're fucking gay
tghig,thank god husband is gone
yfb,you fucking bastard
wysitwirl,what you see is totally worthless in real life
iatb,i am the best
yfi,you fucking idiot
rofpml,rolling on the floor pissing myself laughing
nwrus,no way are your serious
kcco,keep calm chive on
serp,search engine results page
bbl8a,be back later
nes,nintendo entertainment system
dgara,don't give a rats ass
retrotextual,one who is using out of date words and abbreviations while texting.
tbfh,to be fucking honest
bf's,boyfriend's
bf,boyfriend
budzecks,butt sex
lezzzie,lesbian
imho,in my humble opinion
faic,for all i care
qft&gj,quoted for truth and great justice
foss,"free, open source software"
imhe,in my humble experience
idot,idiot
omwts,on my way to school
lotr,lord of the rings
irt,in reply to
loti,laughing on the inside
sista,sister
loto,laughing on the outside
irc,internet relay chat
lotf,laughing on the floor
wtp,where's the party
wts,want to sell
wtt,want to trade
wtv,whatever
fiik,fucked if i know
oomm,out of my mind
skwl,school
rgr,roger
fiic,fucked if i care
wtb,want to buy
wtc,what the crap
wtd,what the deuce
wtf,what the fuck
wtg,way to go
wth,what the heck
havnt,haven't
puter,computer
pita,pain in the ass
rlgf,real life girl friend
lshismp,laughed so hard i shit my pants
tmnt,teenage mutant ninja turtles
f.u.,fuck you
stupd,stupid
diff,difference
omgty,oh my god thank you
frk,freak
"tl,dr",too long; didn't read
frm,from
wula,what you looking at?
wuld,would
nayl,in a while
awsm,awesome
lifo,last in first out
dotc,dancing on the ceiling
cunt,vagina
ihnc,i have no clue
j/a,just asking
ihni,i have no idea
roflmao,rolling on the floor laughing my ass off
idkh2s,i don't know how to spell
anw,anyways
rotflmfho,rolling on the floor laughing my fucking head off
rolmfao,rolling over laughing my fucking ass off
bfftddup,best friends forever till death do us part
wsibt,when should i be there
hldn,hold on
ianars,i am not a rocket scientist
dhv,demonstration of higher value
ttul8r,talk to you later
dpmo,don't piss me off
jkz,jokes
x treme,extreme
aightz,alright
lylasa,love you like a sister always
jks,jokes
jkl,just kidding loser
jkn,joking
jka,just kidding around
lolpimp,laughing out loud peeing in my pants
smd,suck my dick
lmaomtoaoa,laugh my ass off many times over and over again
sleepn,sleeping
hai,hello
hak,here's a kiss
han,how about now
bnr,banner
hax,hacks
bng,being
iw2mu,i want to meet you
hav,have
roflol,rolling on floor laughing out loud
lmmfao,laughing my mother fucking ass off
lmmfas,laugh my mother fuckin ass off
n e,any
gbnf,gone but not forgotten
lmsao,laughing my sexy ass off
oll,online love
wlcb,welcome back
fov,field of view
sotc,stupid off topic crap
fos,full of shit
bizi,busy
fmph,fuck my pussy hard
ilylc,i love you like crazy
msibo,my side is busting open
oh noes,oh shit!
fo`,for
foa,fuck off asshole
fob,fresh off the boat
fol,farting out loud
foo,fool
gsfg,go search fucking google
lobfl,laugh out bloody fucking loud
g2bg,got to be going
liyf,laughing in your face
nstaafl,no such thing as a free lunch
bytch,bitch
jklol,just kidding laughing out loud
o,oh
yduwtk,why do you want to know
sk8ter,skater
soa,service oriented architecture
soc,same old crap
sob,son of a bitch
soe,service oriented enterprise
sof,smile on face
soi,service oriented infrastructure
mbf,my best friend
b&,banned
soo,so
sop,same old place
sos,same old shit
sot,suck on this
soz,sorry
wussup,what is up?
omdg,oh my dear god
omdz,oh my days
ur6c,you're sexy
mwsmirl,maybe we should meet in real life
ymiaw,your mom is a whore
absnt,absent
mpty,more power to you
beech,bitch
iswydt,i see what you did there
snogged,kissed
azn,asian
abwt,about
beyatch,bitch
azz,ass
n199312,african american
totpd,top of the page dance
fomofo,fuck off mother fucker
ddos,distributed denial of service
2h4u,too hot for you
iyam,if you ask me
loomm,laughing out of my mind
ilymtyk,i love you more than you know
leet,elite
wtfayt,why the fuck are you talking
lylas,i love you like a sister
b8,bait
rsps,runescape private server
lmaowtntpm,laughing my ass off whilst trying not to piss myself
lylab,love you like a brother
lylam,love you like a mom
5h17,shit
xyzpdq,examine your zipper pretty darn quick
aslp,"age, sex, location, picture"
lee7,elite
aslr,age sex location race
idno,i do not know
bmfe,best mates forever
ilygsm,i love you guys so much
idnk,i don't know
ub3r,super
bmfl,best mates for life
aslo,age sex location orientation
osy,oh screw you
newbie,new player
wats^,what's up?
steamloller,laughing. alot.
hax0rz,hackers
ctnbos,can't talk now boss over shoulder
alaytm,as long as you tell me
lrh,laughing really hard
lrt,last retweet
w00t,woohoo
pnbf,potential new boy friend
lollerskates,laughing out loud
ijeomk,i just ejaculated on my keybord
i8u,i hate you
rents,parents
rentz,parents
bg,background
ihusb,i hate you so bad
ihusm,i hate you so much
witwwyt,what in the world were you thinking
prvrt,pervert
otfcu,on the floor cracking up
plars,party like a rock star
xtreme,extreme
hldon,hold on
g2p,got to pee
g2g,got to go
g2e,got to eat
idfts,i don't fucking think so
g2k,good to know
