Smiley,Sentiment
:-),1
:),1
:D,1
:o),1
:],1
:3,1
:c),1
:>,1
=],1
8),1
=),1
='(,0
:},1
:^),1
:っ),1
:-D,1
8-D,1
8D,1
x-D,1
xD,1
X-D,1
XD,1
=-D,1
=D,1
=-3,1
=3,1
B^D,1
:-)),1
>:[,0
:-(,0
:(,0
:-c,0
:c,0
:-<,0
:っC,0
:<,0
:-[,0
:[,0
:{,0
;(,0
:-||,0
:@,0
>:(,0
:'-(,0
:'(,0
:'-),1
:'),1
D:<,0
D:,0
D8,0
D;,0
D=,0
DX,0
v.v,0
D-':,0
>:O,1
:-O,1
:O,1
:-o,1
:o,1
8-0,1
O_O,0
o-o,0
O_o,0
o_O,0
o_o,0
O-O,0
:*,1
:^*,1
;-),1
;),1
*-),1
*),1
;-],1
;],1
;D,1
;^),1
>:P,1
:-P,1
:P,1
X-P,1
x-p,1
xp,1
XP,1
:-p,1
:p,1
=p,1
:-Þ,1
:Þ,1
:þ,1
:-þ,1
:-b,1
:b,1
d:,1
>:\,0
>:/,0
:-/,0
:-.,0
:/,0
:\,0
=/,0
=\,0
:L,0
=L,0
:S,0
>.<,0
:|,0
:-|,0
:$,0
:-X,0
:X,0
:-#,0
:#,0
O:-),1
0:-3,1
0:3,1
0:-),1
0:),1
0;^),1
>:),1
>;),1
>:-),1
}:-),1
}:),1
3:-),1
3:),1
|;-),1
|-O,1
:-J,1
<3,1
</3,0
T_T,0
@-),1
